Incident No.,Incident_Date,Site,Type,Brief Description,Maint_Count_1d_before,Maint_Count_3d_before,Maint_Count_7d_before,Maint_Count_14d_before,Maint_Count_30d_before,Maint_Count_60d_before,Maint_Count_90d_before,Maint_Count_1d_after,Maint_Count_3d_after,Maint_Count_7d_after,Maint_Count_14d_after,Maint_Count_30d_after,Maint_Count_60d_after,Maint_Count_90d_after
INC-1472499,2025-10-19,Cheyenne WY,Incident,Operations could not start C-201,0,32,90,180,360,769,1162,21,61,86,154,390,705,767
INC-1472463,2025-10-20,Cheyenne WY,Hazard,Disposal Well #3 default bypass logic configured incorrectly,21,21,111,201,381,769,1165,42,86,100,185,397,705,767
INC-1472357,2025-10-19,Cheyenne WY,Incident,Seal failure on South NH3 Bullet pump.,0,32,90,180,360,769,1162,21,61,86,154,390,705,767
INC-1472244,2025-10-16,Cheyenne WY,Incident,Holes developed in the Production screener,56,90,127,216,414,801,1162,32,32,118,186,377,737,799
INC-1472224,2025-10-14,Cheyenne WY,Incident,pressure gauge failed from long term corrosion,34,34,105,199,389,745,1138,44,76,118,188,421,719,843
INC-1472223,2025-10-15,Cheyenne WY,Incident,Creole shut down due to low rpm,44,58,115,206,413,769,1153,56,56,117,177,401,699,823
INC-1472135,2025-10-14,Cheyenne WY,Near Miss,"50% DEF Piling Install - Piling kick back, struck pipe rack bracing",34,34,105,199,389,745,1138,44,76,118,188,421,719,843
INC-1472127,2025-10-09,Cheyenne WY,Incident,packing failure of number 2 AUX boiler outlet valve.,56,89,125,209,407,793,1139,37,37,127,213,376,760,893
INC-1472086,2025-10-14,Cheyenne WY,Incident,Air cannon not firing.,34,34,105,199,389,745,1138,44,76,118,188,421,719,843
INC-1472079,2025-10-14,Cheyenne WY,Incident,NH3 pump seal flush tubing leaking.,34,34,105,199,389,745,1138,44,76,118,188,421,719,843
INC-1471991,2025-10-13,Cheyenne WY,Hazard,Main fiber switch for C1/C2/C3 lock is broken.,14,15,104,195,369,755,1129,34,90,111,190,403,733,856
INC-1471990,2025-10-13,Cheyenne WY,Hazard,"36"" power strip held up by fiber and cables",14,15,104,195,369,755,1129,34,90,111,190,403,733,856
INC-1471946,2025-10-12,Cheyenne WY,Incident,Fines Plugged Loadout system in barn ,0,37,90,181,355,753,1140,14,58,90,176,384,733,856
INC-1471890,2025-10-11,Cheyenne WY,Incident,Seal failed on the South NH3 Bullet pump.,1,57,90,181,385,771,1140,0,34,90,176,364,732,856
INC-1471747,2025-10-08,Cheyenne WY,Incident,C-201 tripped down on low frame oil temp,34,53,111,194,395,757,1120,56,57,115,208,396,747,913
INC-1471712,2025-10-09,Cheyenne WY,Incident,Slight PSV leak on the ammonia vapor to A/B/C offloading,56,89,125,209,407,793,1139,37,37,127,213,376,760,893
INC-1471627,2025-10-06,Cheyenne WY,Incident,Ammonia release from open bleeder after pump maintenance.,19,19,110,199,362,755,1116,33,89,104,201,398,780,944
INC-1471564,2025-10-06,Cheyenne WY,Hazard,83 AN Blend Pumps (D3-106A/B) does not trip on low amps,19,19,110,199,362,755,1116,33,89,104,201,398,780,944
INC-1471562,2025-10-01,Cheyenne WY,Incident,Failed RATA,39,55,105,183,383,761,1116,58,58,111,206,392,720,998
INC-1471509,2025-10-05,Cheyenne WY,Hazard,Level transmitter fluctuating false indication.,0,36,91,180,343,760,1128,19,53,90,180,381,780,944
INC-1471508,2025-10-05,Cheyenne WY,Hazard,Safety shower leaking.,0,36,91,180,343,760,1128,19,53,90,180,381,780,944
INC-1471448,2025-10-03,Cheyenne WY,Incident,Dryer seal missing metal flaps.,36,75,91,180,400,797,1128,0,19,90,180,334,731,944
INC-1471447,2025-10-03,Cheyenne WY,Incident,Air cannon not firing properly,36,75,91,180,400,797,1128,0,19,90,180,334,731,944
INC-1471374,2025-10-02,Cheyenne WY,Hazard,Lift of entrance sign attempted without any barricades with trucks/vehicles driving underneath (Reliant Project).,58,91,120,204,414,797,1129,36,36,125,216,370,737,980
INC-1471353,2025-10-01,Cheyenne WY,Incident,wisp of ammonia coming from the south NH3 bullet pump seals. ,39,55,105,183,383,761,1116,58,58,111,206,392,720,998
INC-1471339,2025-10-01,Cheyenne WY,Hazard,UAN Pump did not trip on trip testing ,39,55,105,183,383,761,1116,58,58,111,206,392,720,998
INC-1471318,2025-09-30,Cheyenne WY,Incident,Low pH water in waste water ditch 2ndary containment,33,33,99,176,361,739,1115,39,75,108,199,409,737,1015
INC-1471314,2025-09-30,Cheyenne WY (DNTI),Incident,Reporting Only- Passenger vehicle side-swiped DNTI pup trailer on I-25.,33,33,99,176,361,739,1115,39,75,108,199,409,737,1015
INC-1471221,2025-09-30,Cheyenne WY,Incident,Day tank for Recirc Packing on North Cooper ruptured.,33,33,99,176,361,739,1115,39,75,108,199,409,737,1015
INC-1471218,2025-09-29,Cheyenne WY,Near Miss,Quality issues with prill in LoDAN1,16,16,105,190,344,748,1108,33,91,110,195,392,753,1025
INC-1471073,2025-09-30,Cheyenne WY,Incident,C-201 Temperature switch was damaged and caused difficulty during removal. ,33,33,99,176,361,739,1115,39,75,108,199,409,737,1015
INC-1470928,2025-09-27,Cheyenne WY,Incident,Drive Chain broke on Air lock.,0,50,89,174,357,783,1105,0,33,91,181,371,753,1025
INC-1470854,2025-09-26,Cheyenne WY,Hazard,LoDAN1 Perimeter lighting out.,29,66,89,174,376,806,1116,0,16,91,181,357,753,1025
INC-1470853,2025-09-26,Cheyenne WY,Incident,83% AN Blending pump motor seized.,29,66,89,174,376,806,1116,0,16,91,181,357,753,1025
INC-1470852,2025-09-26,Cheyenne WY,Hazard,C nitric acid tank level transmitter indication incorrect ,29,66,89,174,376,806,1116,0,16,91,181,357,753,1025
INC-1470796,2025-09-24,Cheyenne WY,Incident,FM global contractor experienced high level of NH3 while on walking tour.,37,60,99,186,411,777,1133,50,50,105,194,407,749,1075
INC-1470757,2025-09-25,Cheyenne WY (Emulsion Plant),Incident,Possible micro balloon expander heater failure ,50,89,113,204,401,806,1128,29,29,120,209,386,761,1054
INC-1470709,2025-09-23,Cheyenne WY,Near Miss,100-yr sump pump would not turn on in Auto,39,39,93,177,390,757,1126,37,66,99,190,423,765,1091
INC-1470650,2025-09-22,Cheyenne WY,Hazard,UPS #2 has two hot batteries,23,23,108,185,374,773,1144,39,89,105,199,421,788,1065
INC-1470649,2025-09-22,Cheyenne WY,Hazard,"The Litwin UPS #1 has a ""battery module voltage fault error"".",23,23,108,185,374,773,1144,39,89,105,199,421,788,1065
INC-1470556,2025-09-11,Cheyenne WY,Hazard,Complex crane lift of pipe with incorrect controls in place and certificates.,41,77,112,183,416,785,1257,30,30,115,204,385,749,1117
INC-1470528,2025-09-22,Cheyenne WY (Emulsion Plant),Hazard,4/6 Hard drives on APP Server have either external physical damage or internal damage ,23,23,108,185,374,773,1144,39,89,105,199,421,788,1065
INC-1470399,2025-09-19,Cheyenne WY,Incident,83% AN plug valve leaking to atmosphere,24,54,85,163,409,802,1222,0,23,89,180,360,750,1065
INC-1470396,2025-09-19,Cheyenne WY,Incident,Nitric acid line leak.,24,54,85,163,409,802,1222,0,23,89,180,360,750,1065
INC-1470395,2025-09-19,Cheyenne WY,Incident,drain line leaking weak acid and small amount of NOx,24,54,85,163,409,802,1222,0,23,89,180,360,750,1065
INC-1470378,2025-09-18,Cheyenne WY,Hazard,Mold growth caused by Leaking Roof,39,85,115,197,419,802,1234,24,24,113,204,384,764,1089
INC-1470216,2025-09-16,Cheyenne WY,Near Miss,Ammonia DCS screens failed during wire pull,46,46,99,195,402,763,1232,30,54,93,176,414,759,1119
INC-1470206,2025-09-16,Cheyenne WY (DNTI),Incident,Damaged extension cord caused failure of parking lot GFCI receptacles,46,46,99,195,402,763,1232,30,54,93,176,414,759,1119
INC-1470203,2025-09-16,Cheyenne WY,Hazard,Gangway step is broken on UAN truck load rack.,46,46,99,195,402,763,1232,30,54,93,176,414,759,1119
INC-1470202,2025-09-16,Cheyenne WY,Incident,Hole in upper garner wall.,46,46,99,195,402,763,1232,30,54,93,176,414,759,1119
INC-1470198,2025-09-16,Cheyenne WY,Hazard,All workstations to control Complex 2 are on 1 power supply ,46,46,99,195,402,763,1232,30,54,93,176,414,759,1119
INC-1470022,2025-09-13,Cheyenne WY,Incident,Production screener developed holes in the screens,0,41,78,154,386,760,1238,0,46,85,174,369,758,1088
INC-1469912,2025-08-29,Cheyenne WY,Near Miss,UPS battery terminal connection was found loose while addressing INC-1468985,29,73,112,202,440,776,1261,2,7,78,156,330,713,1083
INC-1469864,2025-09-10,Cheyenne WY,Incident,Water is filling up under the false floor in the Urea MCC.,23,48,105,172,409,755,1240,41,41,102,186,396,735,1128
INC-1469862,2025-09-10,Cheyenne WY,Hazard,"P487 amp trip not effective, flow switch broken",23,48,105,172,409,755,1240,41,41,102,186,396,735,1128
INC-1469861,2025-09-11,Cheyenne WY,Incident,M-505 conveyor folded over,41,77,112,183,416,785,1257,30,30,115,204,385,749,1117
INC-1469854,2025-09-10,Cheyenne WY,Incident,Oil leak on Gardner Denver.,23,48,105,172,409,755,1240,41,41,102,186,396,735,1128
INC-1469753,2025-09-09,Cheyenne WY,Incident,Dryer torque converter loss of fluid.,36,37,108,186,398,744,1235,23,53,99,177,407,747,1131
INC-1469739,2025-09-09,Cheyenne WY,Near Miss,Light switch controlling a heater shorted out causing the breaker to trip,36,37,108,186,398,744,1235,23,53,99,177,407,747,1131
INC-1469675,2025-09-08,Cheyenne WY,Near Miss,Passenger window shattered on the pickup.,25,25,101,213,386,749,1237,36,77,108,185,395,771,1122
INC-1469559,2025-09-06,Cheyenne WY,Near Miss,M-462  Prilling conveyor belt out of adjustment.,0,57,76,188,393,754,1240,1,37,78,163,362,741,1123
INC-1469557,2025-09-06,Cheyenne WY,Hazard,Pressure control valve sticking.,0,57,76,188,393,754,1240,1,37,78,163,362,741,1123
INC-1469493,2025-09-05,Cheyenne WY,Hazard,Loose support on 83% piping.,34,71,78,188,417,785,1240,0,25,78,163,343,724,1123
INC-1469366,2025-09-02,Cheyenne WY,Incident,Rupture disc below the B-Carb pump PSV failed; no PSV release. ,19,19,92,199,397,729,1238,37,71,108,195,414,748,1115
INC-1469201,2025-09-01,Cheyenne WY,Incident,"Dryer torque converter lost fluid, causing shutdown of #1 LoDAN.",5,7,117,207,383,738,1240,19,76,101,185,383,753,1081
INC-1469034,2025-08-29,Cheyenne WY,Incident,"C-150 K-501 dryers not started when HIC-4000 opened, resulting in low process air pressure, moisture in the instrument air system, and reduced plant rates.",29,73,112,202,440,776,1261,2,7,78,156,330,713,1083
INC-1468985,2025-08-29,Cheyenne WY,Near Miss,Battery banks for UPS swollen and emitting odor.,29,73,112,202,440,776,1261,2,7,78,156,330,713,1083
INC-1468961,2025-08-26,Cheyenne WY,Hazard,"During a MOC PSSR, it was found that the original pipe specification for a 250 PSIG steam line was insufficient for the service.",64,64,132,214,430,752,1254,44,73,92,186,401,758,1133
INC-1468938,2025-08-28,Cheyenne WY,Near Miss,Vibration Sensor batteries were low on power,46,110,147,230,453,775,1260,29,29,105,183,357,728,1110
INC-1468934,2025-08-26,Cheyenne WY,Hazard,"During NAP3 Startup, could not exceed critical air compressor speed for 4 minutes due to low steam pressure and flow.",64,64,132,214,430,752,1254,44,73,92,186,401,758,1133
INC-1468919,2025-08-28,Cheyenne WY,Incident,Nipple on C-01 2nd stage suction bottle failed; CO2 LOC,46,110,147,230,453,775,1260,29,29,105,183,357,728,1110
INC-1468848,2025-08-25,Cheyenne WY,Hazard,Unguarded Leading Edge:  the screen by the overs chute to the remelt tank in Lodan 1 was found out of place.,39,39,129,212,405,761,1256,64,110,117,213,411,797,1139
INC-1468846,2025-08-27,Cheyenne WY,Incident,Threaded plugs on shell sides Both North and South NH3 Overhead condensers leaking.,44,83,141,215,449,759,1255,46,48,90,172,376,733,1129
INC-1468843,2025-08-26,Cheyenne WY,Incident,The NH3 Pump west rod packing has a slight leak on the rod,64,64,132,214,430,752,1254,44,73,92,186,401,758,1133
INC-1468841,2025-08-27,Cheyenne WY,Incident,Neutralizer level transmitter failed and delayed LoDAN1 start up,44,83,141,215,449,759,1255,46,48,90,172,376,733,1129
INC-1468835,2025-08-27,Cheyenne WY,Hazard,At random times we are getting alarms on the DCS with only the flashing banner and no audible alarm. ,44,83,141,215,449,759,1255,46,48,90,172,376,733,1129
INC-1468759,2025-07-30,Cheyenne WY,Incident,"[Redundant record for prill quality issues, see INC-1467960]",51,74,126,191,372,857,1218,62,62,123,208,440,768,1151
INC-1468597,2025-08-23,Cheyenne WY,Incident,PSVs on BDC Suction and discharge lifted.,0,58,90,173,399,770,1220,0,64,112,188,374,772,1139
INC-1468521,2025-08-21,Cheyenne WY,Incident,Quad lost communication of mouse and keyboard to workstation ,58,90,120,205,433,857,1220,37,37,147,225,388,769,1145
INC-1468519,2025-08-21,Cheyenne WY,Near Miss,DeltaV domain controller locked out,58,90,120,205,433,857,1220,37,37,147,225,388,769,1145
INC-1468474,2025-08-21,Cheyenne WY,Hazard,DeltaV Admin password is unknown (also see INC-1468519),58,90,120,205,433,857,1220,37,37,147,225,388,769,1145
INC-1468268,2025-08-18,Cheyenne WY,Incident,Water leak due to CO2 plant construction contractor striking potable water line.,22,22,105,198,383,838,1221,32,90,129,207,417,801,1146
INC-1468213,2025-08-18,Cheyenne WY,Incident,The suction line on number 1 Disposal Well keeps getting gravel in it causing loss of suction to the pump.,22,22,105,198,383,838,1221,32,90,129,207,417,801,1146
INC-1468211,2025-08-12,Cheyenne WY,Hazard,On 8/12/25 Wyoming Public Health Lab notified Environmental of a positive coliform result on the monthly potable water sample.  ,41,41,118,211,387,859,1214,30,60,92,214,416,771,1135
INC-1468196,2025-08-14,Cheyenne WY,Near Miss,NH3 Quad lost a screen,42,83,115,202,404,882,1211,30,30,120,230,386,755,1144
INC-1468191,2025-08-17,Cheyenne WY,Incident,Acid 4 workstation failed,0,30,83,176,361,830,1211,22,53,90,202,402,801,1146
INC-1468114,2025-08-16,Cheyenne WY,Incident,"""B"" Prill tower fan experienced high vibrations",0,42,83,176,384,842,1211,0,32,90,202,387,769,1146
INC-1467960,2025-08-13,Cheyenne WY,Incident,Making  poor Prill quality product due to AT. causing high friability.,30,53,109,208,399,863,1212,42,42,95,215,398,753,1137
INC-1467864,2025-08-12,Cheyenne WY,Near Miss,Permit issued for Sand filter PM and Lockout was incomplete ,41,41,118,211,387,859,1214,30,60,92,214,416,771,1135
INC-1467623,2025-08-11,Cheyenne WY,Incident,Lost the RPM indication to the FD Fan.,23,23,116,216,369,854,1213,41,83,105,212,409,794,1133
INC-1467622,2025-08-07,Cheyenne WY,Incident,Leak on the Lean Stripper.,56,93,119,226,393,879,1220,32,32,115,205,393,755,1134
INC-1467180,2025-08-04,Cheyenne WY (DNTI),Incident,Loss of emulsion from middle manhole on trailer at truck stop. ,16,16,116,201,347,836,1207,37,93,116,198,420,797,1131
INC-1467167,2025-08-05,Cheyenne WY,Incident,"During startup of C-201 compressor, rupture disc on cooling water exchanger gave out.",37,37,114,204,368,823,1211,45,77,118,192,438,781,1146
INC-1467162,2025-08-04,Cheyenne WY,Incident,Urea boiler tripped on low level ,16,16,116,201,347,836,1207,37,93,116,198,420,797,1131
INC-1467110,2025-06-03,Cheyenne WY,Hazard,Installing Ballast Bypass Lights Incorrectly,41,42,110,182,378,768,1160,37,71,113,203,525,857,1240
INC-1467107,2025-08-01,Cheyenne WY,Incident,Creole was taken down due to 2nd Stage valves.,26,77,101,185,376,882,1219,0,16,93,176,378,739,1131
INC-1467104,2025-08-01,Cheyenne WY,Incident,The Production Screener developed a hole. ,26,77,101,185,376,882,1219,0,16,93,176,378,739,1131
INC-1467102,2025-07-31,Cheyenne WY,Incident,The Rotary Dryer stopped. ,62,100,133,208,386,882,1219,26,26,119,202,404,748,1124
INC-1466666,2025-07-18,Cheyenne WY,Incident,Employee felt pain in collar bone/shoulder after opening a manhole cover.,23,43,68,147,469,850,1231,0,18,85,185,361,763,1162
INC-1466502,2025-07-26,Cheyenne WY,Incident,NH3 feed pump had a leak.,1,52,85,153,356,851,1223,0,38,100,193,405,777,1163
INC-1466501,2025-07-25,Cheyenne WY,Incident,NH3 feed pump leaking.,33,67,85,153,370,854,1223,1,24,101,194,367,757,1164
INC-1466406,2025-07-22,Cheyenne WY,Incident,Reliant CO2 contractors struck an underground wastewater line feeding disposal well #3,33,33,76,148,439,802,1216,34,67,105,204,433,784,1165
INC-1466401,2025-07-24,Cheyenne WY,Incident,Nipple for oil bulb on South Boiler Feed Water pump broke,51,84,107,169,403,853,1222,33,33,133,226,399,773,1171
INC-1466259,2025-07-22,Cheyenne WY,Near Miss,Data collection workstation was not communicating with parcview server,33,33,76,148,439,802,1216,34,67,105,204,433,784,1165
INC-1466258,2025-07-18,Cheyenne WY (Emulsion Plant),Incident,FT-401 resulted in a total plant shutdown,23,43,68,147,469,850,1231,0,18,85,185,361,763,1162
INC-1466184,2025-07-21,Cheyenne WY,Incident,Truck driver hit and damaged rack at the Hatch Opening station.,18,18,86,164,438,818,1227,33,84,108,201,414,802,1162
INC-1466134,2025-07-19,Cheyenne WY,Near Miss,South boiler feed water pump vibration,0,32,68,146,455,838,1231,0,33,85,185,383,778,1162
INC-1466107,2025-07-19,Cheyenne WY,Incident,"Outboard  pump bearing began running hot (BFW, N)",0,32,68,146,455,838,1231,0,33,85,185,383,778,1162
INC-1466105,2025-07-19,Cheyenne WY,Near Miss,Remelt Tank became clogged with fines,0,32,68,146,455,838,1231,0,33,85,185,383,778,1162
INC-1466023,2025-07-17,Cheyenne WY,Incident,Leaking boiler sight glass.,32,68,85,170,481,850,1231,23,23,107,208,384,771,1153
INC-1465996,2025-07-17,Cheyenne WY (DNTI),Incident,Driver was leaving truck stop and flatbed pulled out and drug their trailer along DNTI trucks bumper.,32,68,85,170,481,850,1231,23,23,107,208,384,771,1153
